ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
NG;FC;"Abuja Federal Capital Territory";"Abuja Federal Capital Territory";https://en.wikipedia.org/wiki/Abuja_Federal_Capital_Territory;"capital territory"
NG;AB;"Abia State";Abia;https://en.wikipedia.org/wiki/Abia_State;state
NG;AD;"Adamawa State";Adamawa;https://en.wikipedia.org/wiki/Adamawa_State;state
NG;AK;"Akwa Ibom State";"Akwa Ibom";https://en.wikipedia.org/wiki/Akwa_Ibom_State;state
NG;AN;"Anambra State";Anambra;https://en.wikipedia.org/wiki/Anambra_State;state
NG;BA;"Bauchi State";Bauchi;https://en.wikipedia.org/wiki/Bauchi_State;state
NG;BY;"Bayelsa State";Bayelsa;https://en.wikipedia.org/wiki/Bayelsa_State;state
NG;BE;"Benue State";Benue;https://en.wikipedia.org/wiki/Benue_State;state
NG;BO;"Borno State";Borno;https://en.wikipedia.org/wiki/Borno_State;state
NG;CR;"Cross River State";"Cross River";https://en.wikipedia.org/wiki/Cross_River_State;state
NG;DE;"Delta State";Delta;https://en.wikipedia.org/wiki/Delta_State;state
NG;EB;"Ebonyi State";Ebonyi;https://en.wikipedia.org/wiki/Ebonyi_State;state
NG;ED;"Edo State";Edo;https://en.wikipedia.org/wiki/Edo_State;state
NG;EK;"Ekiti State";Ekiti;https://en.wikipedia.org/wiki/Ekiti_State;state
NG;EN;"Enugu State";Enugu;https://en.wikipedia.org/wiki/Enugu_State;state
NG;GO;"Gombe State";Gombe;https://en.wikipedia.org/wiki/Gombe_State;state
NG;IM;"Imo State";Imo;https://en.wikipedia.org/wiki/Imo_State;state
NG;JI;"Jigawa State";Jigawa;https://en.wikipedia.org/wiki/Jigawa_State;state
NG;KD;"Kaduna State";Kaduna;https://en.wikipedia.org/wiki/Kaduna_State;state
NG;KN;"Kano State";Kano;https://en.wikipedia.org/wiki/Kano_State;state
NG;KT;"Katsina State";Katsina;https://en.wikipedia.org/wiki/Katsina_State;state
NG;KE;"Kebbi State";Kebbi;https://en.wikipedia.org/wiki/Kebbi_State;state
NG;KO;"Kogi State";Kogi;https://en.wikipedia.org/wiki/Kogi_State;state
NG;KW;"Kwara State";Kwara;https://en.wikipedia.org/wiki/Kwara_State;state
NG;LA;"Lagos State";Lagos;https://en.wikipedia.org/wiki/Lagos_State;state
NG;NA;"Nasarawa State";Nasarawa;https://en.wikipedia.org/wiki/Nasarawa_State;state
NG;NI;"Niger State";Niger;https://en.wikipedia.org/wiki/Niger_State;state
NG;OG;"Ogun State";Ogun;https://en.wikipedia.org/wiki/Ogun_State;state
NG;ON;"Ondo State";Ondo;https://en.wikipedia.org/wiki/Ondo_State;state
NG;OS;"Osun State";Osun;https://en.wikipedia.org/wiki/Osun_State;state
NG;OY;"Oyo State";Oyo;https://en.wikipedia.org/wiki/Oyo_State;state
NG;PL;"Plateau State";Plateau;https://en.wikipedia.org/wiki/Plateau_State;state
NG;RI;"Rivers State";Rivers;https://en.wikipedia.org/wiki/Rivers_State;state
NG;SO;"Sokoto State";Sokoto;https://en.wikipedia.org/wiki/Sokoto_State;state
NG;TA;"Taraba State";Taraba;https://en.wikipedia.org/wiki/Taraba_State;state
NG;YO;"Yobe State";Yobe;https://en.wikipedia.org/wiki/Yobe_State;state
NG;ZA;"Zamfara State";Zamfara;https://en.wikipedia.org/wiki/Zamfara_State;state
NI;BO;"Boaco Department";Boaco;https://en.wikipedia.org/wiki/Boaco_Department;department
NI;CA;"Carazo Department";Carazo;https://en.wikipedia.org/wiki/Carazo_Department;department
NI;CI;"Chinandega Department";Chinandega;https://en.wikipedia.org/wiki/Chinandega_Department;department
NI;CO;"Chontales Department";Chontales;https://en.wikipedia.org/wiki/Chontales_Department;department
NI;ES;"Estelí Department";Estelí;https://en.wikipedia.org/wiki/Estel%C3%AD_Department;department
NI;GR;"Granada Department";Granada;https://en.wikipedia.org/wiki/Granada_Department;department
NI;JI;"Jinotega Department";Jinotega;https://en.wikipedia.org/wiki/Jinotega_Department;department
NI;LE;"León Department";León;https://en.wikipedia.org/wiki/Le%C3%B3n_Department;department
NI;MD;"Madriz Department";Madriz;https://en.wikipedia.org/wiki/Madriz_Department;department
NI;MN;"Managua Department";Managua;https://en.wikipedia.org/wiki/Managua_Department;department
NI;MS;"Masaya Department";Masaya;https://en.wikipedia.org/wiki/Masaya_Department;department
NI;MT;"Matagalpa Department";Matagalpa;https://en.wikipedia.org/wiki/Matagalpa_Department;department
NI;NS;"Nueva Segovia Department";"Nueva Segovia";https://en.wikipedia.org/wiki/Nueva_Segovia_Department;department
NI;SJ;"Río San Juan Department";"Río San Juan";https://en.wikipedia.org/wiki/R%C3%ADo_San_Juan_Department;department
NI;RI;"Rivas Department";Rivas;https://en.wikipedia.org/wiki/Rivas_Department;department
NI;AN;"Atlántico Norte (autonomous region)";"Atlántico Norte";https://en.wikipedia.org/wiki/Atl%C3%A1ntico_Norte_(autonomous_region);"autonomous region"
NI;AS;"Atlántico Sur (autonomous region)";"Atlántico Sur";https://en.wikipedia.org/wiki/Atl%C3%A1ntico_Sur_(autonomous_region);"autonomous region"
NL;DR;Drenthe;Drenthe;https://en.wikipedia.org/wiki/Drenthe;provinces
NL;FL;Flevoland;Flevoland;https://en.wikipedia.org/wiki/Flevoland;provinces
NL;FR;Friesland;Fryslân;https://en.wikipedia.org/wiki/Friesland;provinces
NL;GE;Gelderland;Gelderland;https://en.wikipedia.org/wiki/Gelderland;provinces
NL;GR;"Groningen (province)";Groningen;https://en.wikipedia.org/wiki/Groningen_(province);provinces
NL;LI;"Limburg (Netherlands)";Limburg;https://en.wikipedia.org/wiki/Limburg_(Netherlands);provinces
NL;NB;"North Brabant";Noord-Brabant;https://en.wikipedia.org/wiki/North_Brabant;provinces
NL;NH;"North Holland";Noord-Holland;https://en.wikipedia.org/wiki/North_Holland;provinces
NL;OV;Overijssel;Overijssel;https://en.wikipedia.org/wiki/Overijssel;provinces
NL;UT;"Utrecht (province)";Utrecht;https://en.wikipedia.org/wiki/Utrecht_(province);provinces
NL;ZE;Zeeland;Zeeland;https://en.wikipedia.org/wiki/Zeeland;provinces
NL;ZH;"South Holland";Zuid-Holland;https://en.wikipedia.org/wiki/South_Holland;provinces
NO;02;Akershus;Akershus;https://en.wikipedia.org/wiki/Akershus;county
NO;09;Aust-Agder;Aust-Agder;https://en.wikipedia.org/wiki/Aust-Agder;county
NO;06;Buskerud;Buskerud;https://en.wikipedia.org/wiki/Buskerud;county
NO;20;Finnmark;Finnmark;https://en.wikipedia.org/wiki/Finnmark;county
NO;04;Hedmark;Hedmark;https://en.wikipedia.org/wiki/Hedmark;county
NO;12;Hordaland;Hordaland;https://en.wikipedia.org/wiki/Hordaland;county
NO;15;"Møre og Romsdal";"Møre og Romsdal";https://en.wikipedia.org/wiki/M%C3%B8re_og_Romsdal;county
NO;18;Nordland;Nordland;https://en.wikipedia.org/wiki/Nordland;county
NO;17;Nord-Trøndelag;Nord-Trøndelag;https://en.wikipedia.org/wiki/Nord-Tr%C3%B8ndelag;county
NO;05;Oppland;Oppland;https://en.wikipedia.org/wiki/Oppland;county
NO;03;Oslo;Oslo;https://en.wikipedia.org/wiki/Oslo;county
NO;11;Rogaland;Rogaland;https://en.wikipedia.org/wiki/Rogaland;county
NO;14;"Sogn og Fjordane";"Sogn og Fjordane";https://en.wikipedia.org/wiki/Sogn_og_Fjordane;county
NO;16;Sør-Trøndelag;Sør-Trøndelag;https://en.wikipedia.org/wiki/S%C3%B8r-Tr%C3%B8ndelag;county
NO;08;Telemark;Telemark;https://en.wikipedia.org/wiki/Telemark;county
NO;19;Troms;Troms;https://en.wikipedia.org/wiki/Troms;county
NO;10;Vest-Agder;Vest-Agder;https://en.wikipedia.org/wiki/Vest-Agder;county
NO;07;Vestfold;Vestfold;https://en.wikipedia.org/wiki/Vestfold;county
NO;01;Østfold;Østfold;https://en.wikipedia.org/wiki/%C3%98stfold;county
NO;22;"Jan Mayen";"Jan Mayen";https://en.wikipedia.org/wiki/Jan_Mayen;"separated from metropolitan Norway"
NO;21;Svalbard;Svalbard;https://en.wikipedia.org/wiki/Svalbard;"separated from metropolitan Norway"
NP;1;Madhyamanchal;Madhyamanchal;https://en.wikipedia.org/wiki/Madhyamanchal;"development regions"
NP;2;"Madhya Pashchimanchal";"Madhya Pashchimanchal";https://en.wikipedia.org/wiki/Madhya_Pashchimanchal;"development regions"
NP;3;Pashchimanchal;Pashchimanchal;https://en.wikipedia.org/wiki/Pashchimanchal;"development regions"
NP;4;Purwanchal;Purwanchal;https://en.wikipedia.org/wiki/Purwanchal;"development regions"
NP;5;"Sudur Pashchimanchal";"Sudur Pashchimanchal";https://en.wikipedia.org/wiki/Sudur_Pashchimanchal;"development regions"
NR;01;"Aiwo District";Aiwo;https://en.wikipedia.org/wiki/Aiwo_District;districts
NR;02;"Anabar District";Anabar;https://en.wikipedia.org/wiki/Anabar_District;districts
NR;03;"Anetan District";Anetan;https://en.wikipedia.org/wiki/Anetan_District;districts
NR;04;"Anibare District";Anibare;https://en.wikipedia.org/wiki/Anibare_District;districts
NR;05;"Baiti District";Baiti;https://en.wikipedia.org/wiki/Baiti_District;districts
